,professor_id,subject_prefix,course_number,first_name,last_name,section_id,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
41,67cc1589e13b9b509188d716,CHEM,1111,Sandhya,Gavva,22F,46,17,9,7,2,1,0,2,0,0,0,0,3
42,67cca09a273b002bc539d4ed,CHEM,1111,Jing,Ge,24F,20,19,3,6,6,2,2,0,0,0,0,0,1
43,67cc9f75273b002bc538d150,CHEM,1111,Kahawatte Gedara,Gunawardhana,20S,4,10,0,1,1,0,0,0,0,0,0,0,0
44,67cc9f75273b002bc538d150,CHEM,1111,Kahawatte Gedara,Gunawardhana,20F,19,6,5,0,4,2,0,0,0,0,1,0,0
45,67cc159ee13b9b509188d764,CHEM,1111,Zohreh,Hashami,18F,71,94,28,10,7,6,4,2,2,1,0,1,18
46,67cc159ee13b9b509188d764,CHEM,1111,Zohreh,Hashami,21U,8,4,1,1,2,0,1,1,1,0,1,0,4
47,67cc159ee13b9b509188d764,CHEM,1111,Zohreh,Hashami,19S,29,36,7,6,12,4,5,3,5,0,1,1,11
48,67cc159ee13b9b509188d764,CHEM,1111,Zohreh,Hashami,22F,12,10,5,5,5,2,1,2,0,2,0,1,7
49,67cc159ee13b9b509188d764,CHEM,1111,Zohreh,Hashami,21F,16,7,2,2,3,4,0,3,2,1,3,2,8
50,67cc159ee13b9b509188d764,CHEM,1111,Zohreh,Hashami,19F,16,48,6,6,2,2,2,1,2,1,1,0,7
51,67cc159ee13b9b509188d764,CHEM,1111,Zohreh,Hashami,23S,12,5,1,5,1,0,0,1,1,1,0,0,2
52,67cc159ee13b9b509188d764,CHEM,1111,Zohreh,Hashami,23F,23,18,6,1,3,1,1,0,0,0,0,0,0
53,67cc159ee13b9b509188d764,CHEM,1111,Zohreh,Hashami,24F,86,26,9,10,6,2,2,1,0,0,1,0,1
54,67cc159ee13b9b509188d764,CHEM,1111,Zohreh,Hashami,20F,25,8,6,4,1,3,1,0,0,0,0,0,3
55,67cc15ace13b9b509188d793,CHEM,1111,Yu,Huang,20S,3,19,12,6,8,4,3,3,0,0,0,0,2
56,67cc15ace13b9b509188d793,CHEM,1111,Yu,Huang,18F,50,110,28,16,9,5,0,3,1,1,2,3,6
57,67cc15ace13b9b509188d793,CHEM,1111,Yu,Huang,17F,9,88,24,10,8,9,5,3,4,1,2,1,8
58,67cc15ace13b9b509188d793,CHEM,1111,Yu,Huang,22F,30,24,11,6,7,2,1,2,0,0,0,2,5
59,67cc15ace13b9b509188d793,CHEM,1111,Yu,Huang,21F,36,52,22,14,17,9,4,6,2,2,2,0,11
60,67cc15ace13b9b509188d793,CHEM,1111,Yu,Huang,19F,38,91,17,7,6,2,2,2,1,0,2,0,7
61,67cc15ace13b9b509188d793,CHEM,1111,Yu,Huang,22S,4,11,3,5,6,3,6,7,2,1,1,0,8
62,67cc15ace13b9b509188d793,CHEM,1111,Yu,Huang,20F,57,51,11,7,8,4,2,2,3,0,0,0,7
63,67cc9fa4273b002bc538fb01,CHEM,1111,Neelam,Jaggi,21F,10,16,20,6,13,11,5,3,7,0,2,6,15
64,67cc9fa4273b002bc538fb01,CHEM,1111,Neelam,Jaggi,22S,1,2,2,0,2,2,1,3,1,0,1,4,10
65,67cc9fa4273b002bc538fb01,CHEM,1111,Neelam,Jaggi,23F,33,41,13,15,12,6,5,4,2,0,3,0,7
66,67cc9fa4273b002bc538fb01,CHEM,1111,Neelam,Jaggi,19F,8,25,9,2,1,1,1,0,1,1,0,0,3
67,67cc9f48273b002bc538a3b6,CHEM,1111,Arosha,Karunathilake,17F,38,104,32,25,20,4,4,6,3,0,2,1,24
68,67cca09a273b002bc539d4fb,CHEM,1111,Saba,Khan,24F,53,33,11,8,6,2,1,0,0,1,1,1,1
69,67cc9fa4273b002bc538fafb,CHEM,1111,Justin,Miller,19F,26,30,1,2,1,0,0,0,0,0,0,0,0
70,67cc9fa4273b002bc538fadb,CHEM,1111,Amir Taghavi,Nasrabadi,19F,14,51,11,2,6,0,0,1,0,0,0,1,0
71,67cc9fa4273b002bc538fadb,CHEM,1111,Amir Taghavi,Nasrabadi,20F,32,22,6,11,8,3,1,3,1,2,2,0,15
72,67cc15fde13b9b509188d8ac,CHEM,1111,Steven,Nielsen,17F,3,10,6,2,1,2,1,4,0,0,0,0,1
73,67cc9fd7273b002bc539267d,CHEM,1111,Samitha,Panangala,20F,22,13,6,2,1,1,1,0,0,2,1,0,3
74,67cc9fd7273b002bc539267d,CHEM,1111,Samitha,Panangala,21F,15,20,8,7,12,2,1,1,1,2,1,0,15
75,67cc9fd7273b002bc539267d,CHEM,1111,Samitha,Panangala,22S,9,16,9,10,9,5,4,2,2,1,1,1,14
76,67cc1607e13b9b509188d8d0,CHEM,1111,Nimanka,Panapitiya,22F,59,32,17,14,2,4,4,4,2,0,1,1,7
77,67cc1607e13b9b509188d8d0,CHEM,1111,Nimanka,Panapitiya,23F,45,27,9,4,4,7,3,2,3,0,3,3,6
78,67cc1607e13b9b509188d8d0,CHEM,1111,Nimanka,Panapitiya,24F,31,14,1,4,4,1,1,0,0,0,2,0,1
79,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,20S,6,8,4,3,2,4,1,1,1,0,1,1,3
80,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,20U,12,4,1,0,2,3,3,0,0,0,1,1,2
81,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,20F,118,36,23,8,11,6,1,1,1,0,0,1,9
82,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,24S,23,12,8,3,2,2,3,0,0,0,1,0,3
83,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,23S,9,10,8,7,1,5,2,2,3,1,1,1,7
84,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,21F,81,44,17,13,11,5,4,4,3,1,1,3,14
85,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,18S,29,22,7,5,5,3,3,3,1,0,0,0,5
86,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,18F,44,81,14,9,2,1,0,3,7,1,0,0,9
87,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,24F,124,64,25,10,10,9,9,3,1,1,1,2,6
88,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,23F,15,4,5,3,0,0,0,1,0,0,0,0,1
89,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,19F,73,108,40,11,12,10,4,7,4,3,4,4,11
90,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,22F,39,33,8,9,7,2,4,4,2,1,3,0,4
91,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,22U,5,5,0,1,1,0,0,0,0,0,0,0,1
92,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,17F,38,86,15,11,8,5,2,2,1,0,2,1,3
93,67cc1617e13b9b509188d908,CHEM,1111,Yanping,Qin,21U,3,3,2,2,2,3,1,0,0,0,0,0,2
94,67cc9fa4273b002bc538fb0b,CHEM,1111,Joshua,Sisk,19F,5,32,6,3,5,2,2,1,0,0,0,0,3
95,67cc9fa4273b002bc538fb0b,CHEM,1111,Joshua,Sisk,21F,15,25,16,8,10,6,4,2,3,3,1,3,19
96,67cc9fa4273b002bc538fb0b,CHEM,1111,Joshua,Sisk,22F,15,27,16,15,10,9,7,5,0,1,2,0,7
97,67cc9fa4273b002bc538fb0b,CHEM,1111,Joshua,Sisk,20F,8,7,3,5,2,1,1,2,0,0,0,0,3
98,67cc9fa4273b002bc538fb0b,CHEM,1111,Joshua,Sisk,24F,24,49,6,9,15,3,1,6,1,1,0,0,1
99,67cc9fa4273b002bc538fb0b,CHEM,1111,Joshua,Sisk,23F,13,27,9,8,13,3,2,2,1,2,0,2,6
100,67cc164ae13b9b509188d9b0,CHEM,1111,Amandeep,Sra,18F,24,59,9,6,3,2,1,1,2,0,1,4,6
101,67cc164ae13b9b509188d9b0,CHEM,1111,Amandeep,Sra,21F,21,11,11,5,4,2,0,1,0,0,1,0,1
102,67cc164ae13b9b509188d9b0,CHEM,1111,Amandeep,Sra,22F,19,14,9,6,2,2,2,2,0,1,0,0,1
103,67cc164ae13b9b509188d9b0,CHEM,1111,Amandeep,Sra,18U,2,7,3,0,2,0,1,2,0,0,0,0,1
104,67cc164ae13b9b509188d9b0,CHEM,1111,Amandeep,Sra,23U,5,4,0,1,0,1,0,0,0,0,1,0,1
105,67cc164ae13b9b509188d9b0,CHEM,1111,Amandeep,Sra,19F,20,27,3,2,2,1,0,0,2,0,0,1,2
106,67cc164ae13b9b509188d9b0,CHEM,1111,Amandeep,Sra,23S,7,11,13,7,7,4,1,1,0,2,1,0,1
107,67cc164ae13b9b509188d9b0,CHEM,1111,Amandeep,Sra,19U,7,6,0,1,1,0,0,3,0,0,0,0,1
108,67cc164ae13b9b509188d9b0,CHEM,1111,Amandeep,Sra,20F,33,10,2,3,2,0,2,0,0,0,1,0,1
109,67cc165ee13b9b509188d9f8,CHEM,1111,Daniel,Tran,24F,27,22,4,4,2,0,1,0,0,0,0,0,0
110,67cc165ee13b9b509188d9f8,CHEM,1111,Daniel,Tran,22F,5,11,2,4,2,1,1,0,1,0,0,1,0
111,67cc165ee13b9b509188d9f8,CHEM,1111,Daniel,Tran,23F,42,17,4,6,5,4,2,0,0,2,0,3,1
112,67cca009273b002bc539521e,CHEM,1111,Kiran,Tripathi,24S,17,18,13,9,8,13,8,3,3,3,2,3,7
113,67cca009273b002bc539521e,CHEM,1111,Kiran,Tripathi,23F,54,40,13,11,12,7,3,2,0,1,1,2,1
114,67cca009273b002bc539521e,CHEM,1111,Kiran,Tripathi,24F,24,11,6,9,3,2,0,1,0,2,0,0,0
115,67cca009273b002bc539521e,CHEM,1111,Kiran,Tripathi,21F,11,12,8,3,7,0,4,1,3,2,1,1,2
117,67cc166ee13b9b509188da31,CHEM,1111,Sumudu,Wijenayake,22F,81,58,20,7,13,5,2,6,3,2,0,1,8
118,67cc166ee13b9b509188da31,CHEM,1111,Sumudu,Wijenayake,23F,28,21,2,5,0,0,0,0,0,0,0,0,1
119,67cc166ee13b9b509188da31,CHEM,1111,Sumudu,Wijenayake,24F,33,14,7,1,0,2,0,0,0,1,0,0,0
120,67cc9f75273b002bc538d11c,CHEM,1111,Jonghae,Youn,18F,23,12,6,3,0,1,2,0,0,0,0,0,2
121,67cc9f75273b002bc538d0f1,CHEM,1111,Naifu,Zhang,18F,8,17,7,5,4,1,3,1,0,0,1,2,4
122,67cc152ae13b9b509188d5cb,CHEM,1112,Nimali,Abeykoon,20S,37,15,3,4,4,4,1,1,2,0,0,1,2
123,67cc152ae13b9b509188d5cb,CHEM,1112,Nimali,Abeykoon,21U,15,8,6,6,5,2,5,3,2,2,0,0,7
124,67cc152ae13b9b509188d5cb,CHEM,1112,Nimali,Abeykoon,24S,93,34,16,11,9,6,3,2,1,0,0,0,3
125,67cc152ae13b9b509188d5cb,CHEM,1112,Nimali,Abeykoon,24U,10,9,3,2,2,2,1,2,1,2,0,0,1
126,67cc152ae13b9b509188d5cb,CHEM,1112,Nimali,Abeykoon,22S,63,28,14,4,5,5,3,5,1,0,5,2,8
127,67cc152ae13b9b509188d5cb,CHEM,1112,Nimali,Abeykoon,23U,4,6,1,1,4,0,0,2,0,0,0,0,0
128,67cc152ae13b9b509188d5cb,CHEM,1112,Nimali,Abeykoon,23S,84,39,19,12,5,4,4,2,0,2,0,1,3
129,67cc152ae13b9b509188d5cb,CHEM,1112,Nimali,Abeykoon,21F,11,6,4,2,4,1,2,0,0,1,0,1,9
130,67cc152ae13b9b509188d5cb,CHEM,1112,Nimali,Abeykoon,18S,14,103,44,33,16,1,3,2,0,2,1,2,6
131,67cc152ae13b9b509188d5cb,CHEM,1112,Nimali,Abeykoon,19S,62,129,58,29,20,12,5,5,5,0,1,1,17
132,67cc152ae13b9b509188d5cb,CHEM,1112,Nimali,Abeykoon,17F,0,18,11,8,5,2,1,1,1,0,1,0,6
133,67cc152ae13b9b509188d5cb,CHEM,1112,Nimali,Abeykoon,21S,52,31,6,7,7,3,0,1,0,0,1,0,6
134,67cc1533e13b9b509188d5eb,CHEM,1112,Fadwa,Anka,24S,128,45,10,9,7,3,1,0,0,0,1,3,0
135,67cc1533e13b9b509188d5eb,CHEM,1112,Fadwa,Anka,23F,16,14,6,3,4,0,2,1,2,0,1,2,4
136,67cc1533e13b9b509188d5eb,CHEM,1112,Fadwa,Anka,22S,73,23,4,7,2,1,1,0,0,1,1,1,1
137,67cc1533e13b9b509188d5eb,CHEM,1112,Fadwa,Anka,23S,70,43,9,9,3,4,1,2,1,0,4,0,2
138,67cc1533e13b9b509188d5eb,CHEM,1112,Fadwa,Anka,21F,12,4,4,6,2,4,1,4,1,0,0,4,12
139,67cc1533e13b9b509188d5eb,CHEM,1112,Fadwa,Anka,22F,9,4,5,2,2,2,0,0,0,0,0,0,1
140,67cc1533e13b9b509188d5eb,CHEM,1112,Fadwa,Anka,21S,32,11,3,3,4,1,0,1,1,0,0,0,1
141,67cc1533e13b9b509188d5eb,CHEM,1112,Fadwa,Anka,20S,77,24,5,5,2,2,0,0,0,0,0,0,0
142,67cc9fbb273b002bc5391015,CHEM,1112,Chamni Namal,Arachchilage,19S,1,21,10,4,8,5,1,2,2,0,0,0,0
143,67cc156ee13b9b509188d6ba,CHEM,1112,Dushanthi,Dissanayake,21S,81,51,20,12,6,5,4,2,2,0,1,2,5
144,67cc156ee13b9b509188d6ba,CHEM,1112,Dushanthi,Dissanayake,20S,78,16,2,6,3,1,1,1,1,0,0,0,1
145,67cc156ee13b9b509188d6ba,CHEM,1112,Dushanthi,Dissanayake,22F,3,7,3,0,0,3,2,0,2,0,0,0,2
146,67cc156ee13b9b509188d6ba,CHEM,1112,Dushanthi,Dissanayake,18S,12,46,30,12,16,4,4,3,0,2,0,1,6
147,67cc156ee13b9b509188d6ba,CHEM,1112,Dushanthi,Dissanayake,19S,23,58,21,13,12,3,3,1,2,0,1,0,4
148,67cc156ee13b9b509188d6ba,CHEM,1112,Dushanthi,Dissanayake,23F,11,13,7,3,2,4,0,2,1,1,1,3,3
149,67cc156ee13b9b509188d6ba,CHEM,1112,Dushanthi,Dissanayake,19F,7,11,2,1,1,0,1,0,0,0,1,1,0
150,67cc156ee13b9b509188d6ba,CHEM,1112,Dushanthi,Dissanayake,20F,25,14,8,5,5,3,1,8,0,2,1,1,5
151,67cc1589e13b9b509188d716,CHEM,1112,Sandhya,Gavva,22S,65,28,5,6,4,2,0,0,0,0,1,0,4
152,67cc1589e13b9b509188d716,CHEM,1112,Sandhya,Gavva,17F,20,22,7,5,3,1,2,2,1,0,1,1,4
153,67cc1589e13b9b509188d716,CHEM,1112,Sandhya,Gavva,18F,1,14,5,0,1,0,0,2,0,0,0,0,1
154,67cc1589e13b9b509188d716,CHEM,1112,Sandhya,Gavva,23S,30,19,4,1,3,0,0,0,0,0,1,0,1
155,67cc1589e13b9b509188d716,CHEM,1112,Sandhya,Gavva,24S,12,11,2,1,1,0,3,0,0,0,0,0,0
156,67cc1589e13b9b509188d716,CHEM,1112,Sandhya,Gavva,18U,7,19,7,6,3,0,0,0,1,0,0,0,2
157,67cc1589e13b9b509188d716,CHEM,1112,Sandhya,Gavva,18S,8,54,11,4,2,1,2,0,1,0,0,0,2
158,67cc9f48273b002bc538a444,CHEM,1112,Warren,Goux,23S,54,42,16,9,8,5,3,3,1,0,1,1,3
159,67cc9f75273b002bc538d150,CHEM,1112,Kahawatte Gedara,Gunawardhana,20F,11,8,5,5,2,2,0,0,2,0,0,0,6
160,67cc9f75273b002bc538d150,CHEM,1112,Kahawatte Gedara,Gunawardhana,20S,22,22,4,1,0,0,1,1,0,0,0,0,0
161,67cc159ee13b9b509188d764,CHEM,1112,Zohreh,Hashami,20S,99,53,20,6,2,5,3,2,0,0,0,0,0
162,67cc159ee13b9b509188d764,CHEM,1112,Zohreh,Hashami,18F,13,34,10,2,5,0,0,3,1,0,2,0,5
163,67cc159ee13b9b509188d764,CHEM,1112,Zohreh,Hashami,21S,83,27,12,5,3,2,1,2,1,1,1,2,2
164,67cc159ee13b9b509188d764,CHEM,1112,Zohreh,Hashami,24S,36,14,4,2,2,1,0,0,0,0,0,0,0
165,67cc159ee13b9b509188d764,CHEM,1112,Zohreh,Hashami,19S,45,74,26,8,7,3,0,3,1,0,0,2,5
166,67cc159ee13b9b509188d764,CHEM,1112,Zohreh,Hashami,22F,6,3,1,0,0,0,1,2,0,1,1,0,2
167,67cc159ee13b9b509188d764,CHEM,1112,Zohreh,Hashami,19F,41,52,8,6,8,1,0,3,1,0,1,0,2
168,67cc159ee13b9b509188d764,CHEM,1112,Zohreh,Hashami,23S,34,10,4,4,3,3,0,0,0,0,0,0,1
169,67cc159ee13b9b509188d764,CHEM,1112,Zohreh,Hashami,22S,23,12,5,3,4,5,0,2,1,0,1,0,2
170,67cc15ace13b9b509188d793,CHEM,1112,Yu,Huang,20U,6,7,2,2,2,2,1,0,1,0,0,0,2
171,67cc15ace13b9b509188d793,CHEM,1112,Yu,Huang,21S,16,18,6,3,4,0,2,1,1,0,0,0,4
172,67cc15ace13b9b509188d793,CHEM,1112,Yu,Huang,22U,1,8,1,1,1,0,0,1,1,0,0,0,2
173,67cc15ace13b9b509188d793,CHEM,1112,Yu,Huang,19S,22,30,2,2,3,0,0,0,0,0,0,0,0
174,67cc15ace13b9b509188d793,CHEM,1112,Yu,Huang,18S,1,25,14,10,4,2,1,0,0,0,1,0,1
175,67cc15ace13b9b509188d793,CHEM,1112,Yu,Huang,22F,30,15,5,3,2,1,4,0,4,0,6,0,4
176,67cc15ace13b9b509188d793,CHEM,1112,Yu,Huang,19F,0,10,6,4,1,0,3,1,0,0,0,0,0
177,67cc15ace13b9b509188d793,CHEM,1112,Yu,Huang,23U,1,6,3,1,3,2,0,1,0,0,0,0,0
178,67cc15ace13b9b509188d793,CHEM,1112,Yu,Huang,24F,28,18,11,4,6,4,5,1,1,2,0,1,5
179,67cc9fa4273b002bc538fb01,CHEM,1112,Neelam,Jaggi,20S,91,36,6,7,8,3,1,2,2,1,1,0,1
180,67cc9fa4273b002bc538fb01,CHEM,1112,Neelam,Jaggi,22S,76,32,13,5,4,4,1,1,3,1,0,0,6
181,67cc9f48273b002bc538a3b6,CHEM,1112,Arosha,Karunathilake,18S,19,77,58,21,29,6,1,1,1,2,2,2,9
182,67cc9fed273b002bc5393b5a,CHEM,1112,Chamaal,Karunaweera,20S,65,41,17,3,3,1,1,3,0,0,0,0,1
184,67cc9fa4273b002bc538fadb,CHEM,1112,Amir Taghavi,Nasrabadi,20S,79,33,11,2,4,2,3,0,0,0,0,0,4
185,67cc9fa4273b002bc538fadb,CHEM,1112,Amir Taghavi,Nasrabadi,21S,32,10,8,5,1,0,0,1,0,0,0,0,0
186,67cc9fd7273b002bc539267d,CHEM,1112,Samitha,Panangala,21F,12,10,6,5,3,4,6,2,3,1,2,3,8
187,67cc9fd7273b002bc539267d,CHEM,1112,Samitha,Panangala,20S,15,7,0,1,1,0,0,0,0,0,0,0,1
188,67cc9fd7273b002bc539267d,CHEM,1112,Samitha,Panangala,22S,21,15,17,6,3,3,4,5,1,0,0,0,6
189,67cc9fd7273b002bc539267d,CHEM,1112,Samitha,Panangala,20F,4,1,2,1,2,1,0,3,0,0,0,1,3
190,67cc1607e13b9b509188d8d0,CHEM,1112,Nimanka,Panapitiya,23S,7,9,5,2,1,0,0,3,1,0,0,0,1
191,67cc1617e13b9b509188d908,CHEM,1112,Yanping,Qin,18F,7,36,11,15,7,3,3,5,1,1,2,2,3
192,67cc1617e13b9b509188d908,CHEM,1112,Yanping,Qin,19U,1,9,6,5,4,1,1,3,2,0,0,2,0
193,67cc1617e13b9b509188d908,CHEM,1112,Yanping,Qin,24S,78,42,10,7,4,3,1,0,1,0,0,0,1
194,67cc1617e13b9b509188d908,CHEM,1112,Yanping,Qin,22S,90,58,17,12,4,6,2,4,1,0,2,2,8
195,67cc1617e13b9b509188d908,CHEM,1112,Yanping,Qin,23F,4,6,6,1,2,1,1,0,1,2,1,0,2
196,67cc1617e13b9b509188d908,CHEM,1112,Yanping,Qin,23S,95,31,18,10,7,6,2,0,1,1,1,0,3
197,67cc1617e13b9b509188d908,CHEM,1112,Yanping,Qin,21F,4,2,4,3,0,1,2,1,2,0,1,1,3
198,67cc1617e13b9b509188d908,CHEM,1112,Yanping,Qin,19S,21,26,0,8,2,2,0,1,0,0,0,0,0
199,67cc1617e13b9b509188d908,CHEM,1112,Yanping,Qin,18S,61,50,11,8,1,1,1,2,0,1,0,1,4
200,67cc1617e13b9b509188d908,CHEM,1112,Yanping,Qin,17F,5,16,8,2,5,0,2,2,0,1,0,0,3
201,67cc1617e13b9b509188d908,CHEM,1112,Yanping,Qin,21S,123,58,16,9,3,4,1,2,0,1,1,0,0
202,67cc1617e13b9b509188d908,CHEM,1112,Yanping,Qin,20U,6,6,2,1,2,1,2,0,0,0,0,2,3
204,67cc9fa4273b002bc538fb0b,CHEM,1112,Joshua,Sisk,23S,16,18,6,7,2,2,1,2,0,0,0,0,2
205,67cc9fa4273b002bc538fb0b,CHEM,1112,Joshua,Sisk,22S,21,16,6,3,3,0,2,3,1,0,1,0,3
206,67cc9fa4273b002bc538fb0b,CHEM,1112,Joshua,Sisk,24S,41,37,8,9,7,2,4,4,1,0,2,1,3
207,67cc164ae13b9b509188d9b0,CHEM,1112,Amandeep,Sra,20F,21,9,4,5,3,1,2,0,0,0,0,3,2
208,67cc165ee13b9b509188d9f8,CHEM,1112,Daniel,Tran,19S,54,92,23,13,8,4,1,0,4,1,1,0,2
209,67cca009273b002bc539521e,CHEM,1112,Kiran,Tripathi,24S,26,17,9,2,1,1,0,0,0,0,0,0,0
210,67cca009273b002bc539521e,CHEM,1112,Kiran,Tripathi,24F,20,15,3,8,3,1,3,1,1,0,0,0,5
213,67cc9f75273b002bc538d11c,CHEM,1112,Jonghae,Youn,19S,7,17,3,1,0,0,0,0,0,0,0,0,0
214,67cc152ae13b9b509188d5cb,CHEM,1311,Nimali,Abeykoon,21F,9,16,18,13,27,27,15,14,21,3,3,4,20
