subject_prefix,course_number,title,class_level
ACTS,4304,Construction and Evaluation of Actuarial Models,Undergraduate
ACTS,4305,Short Term Actuarial Mathematics II,Undergraduate
ACTS,4307,Statistics for Risk Modeling,Undergraduate
ACTS,4308,Actuarial Financial Mathematics,Undergraduate
ACTS,4309,Investment and Financial Markets II,Undergraduate
ACTS,4310,Predictive Analytics,Undergraduate
ACTS,4311,Theory of Credibility,Undergraduate
ACTS,6301,Theory of Actuarial Models  Life Contingencies I,Graduate
ACTS,6302,Theory of Actuarial Models  Financial Economics,Graduate
ACTS,6303,Theory of Actuarial Models  Life Contingencies II,Graduate
ACTS,6304,Construction and Evaluation of Actuarial Models I,Graduate
ACTS,6305,Construction and Evaluation of Actuarial Models II,Graduate
ACTS,6306,Advanced Actuarial Applications,Graduate
ACTS,6307,Advanced Statistics for Risk Modeling,Graduate
ACTS,6308,Actuarial Financial Mathematics,Graduate
ACTS,6310,Advanced Predictive Analytics,Graduate
AERO,1030,#NAME?,Undergraduate
AERO,1040,#NAME?,Undergraduate
AERO,2030,#NAME?,Undergraduate
AERO,2040,#NAME?,Undergraduate
AERO,2920,,Undergraduate
AERO,3310,#NAME?,Undergraduate
AERO,3320,#NAME?,Undergraduate
AERO,4310,#NAME?,Undergraduate
AERO,4320,#NAME?,Undergraduate
AERO,4920,,Undergraduate
AHST,1303,Survey of Western Art History  Ancient to Medieval,Undergraduate
AHST,1304,Survey of Western Art History  Renaissance to Modern,Undergraduate
AHST,2331,Understanding Art,Undergraduate
AHST,3313,Medieval Art,Undergraduate
AHST,3315,The Art of the Renaissance,Undergraduate
AHST,3316,The Art of the Baroque,Undergraduate
AHST,3318,Contemporary Art,Undergraduate
AHST,3319,Twentieth Century European Art  Avant-Garde and Aftermath,Undergraduate
AHST,3320,Art in Historical Context  - South Asian Art & Architecture,Undergraduate
AHST,3322,Modern Architecture,Undergraduate
AHST,3324,History of Photography  - Photography After 1945,Undergraduate
AHST,4342,Topics in Art History  - Survey of New Media Art,Undergraduate
AHST,4V71,Independent Study in Art History,Undergraduate
AHST,6301,Foundations I  Practices of Art History,Graduate
AHST,6302,Foundations II  History of Materials and Techniques,Graduate
AHST,6310,Topics in Art History  - Global Baroque,Graduate
AHST,6311,Topics in Architecture and Landscape Architecture  - Ancient Bay of Naples,Graduate
AHST,6316,Topics in Decorative Arts  - Early Amer Material Culture,Graduate
AHST,6320,Topics in the History of Collecting  - Early Modern Europe,Graduate
AHST,6321,Topics in Global Art Histories  - Islamic & Mediterranean Worlds,Graduate
AHST,6322,Topics in Data-Driven Art History  - From Warburg to Deep Learning,Graduate
AHST,6323,Topics in the Histories of Art and Science  - Bauhaus & Its Afterlives,Graduate
AHST,6327,Special Topics in Renaissance and Baroque Art and Architecture  - Venice and the Mediterranean,Graduate
AHST,6329,Special Topics in Classical Antiquity  - Oplontis Project,Graduate
AHST,6335,Special Topics in Asian Art  - The Arts of India,Graduate
AHST,6350,Practicum I,Graduate
AHST,6396,Special Topics in Art History,Graduate
AHST,6V99,Practicum,Graduate
AHTC,1100,First Year Seminar,Undergraduate
AHTC,2120,Careers Exploration in the Arts  Humanities  and Technology,Undergraduate
AMS,2300,American Popular Culture  - CV Honors,Undergraduate
AMS,2341,American Studies for the Twenty-First Century,Undergraduate
AMS,2390,Topics in American Studies  - American Global Perspective,Undergraduate
AMS,3302,American Cultures,Undergraduate
AMS,3316,Interpersonal Communication,Undergraduate
AMS,3322,American Ethnic Experience  Immigrants After 1945,Undergraduate
AMS,3327,American Studies  Histories  Theories  Methodologies,Undergraduate
AMS,3350,Crisis Communication,Undergraduate
AMS,4300,Oral and Written Communication for the Classroom,Undergraduate
AMS,4304,Communication in America,Undergraduate
AMS,4305,World History for Teachers,Undergraduate
AMS,4324,Motherhood and the Technological Womb,Undergraduate
AMS,4327,The Culture of Bullying in America,Undergraduate
AMS,4360,Gender and Alcohol in America,Undergraduate
AMS,4379,"Special Topics in American Studies  - 1960s Radicals, Revol & React",Undergraduate
AMS,4381,Senior Honors in American Studies,Undergraduate
AMS,4385,Professional Communications in Business,Undergraduate
ANGM,2303,Project Management for Arts  Technology  and Emerging Communication I,Undergraduate
ANGM,2305,Programming for Digital Arts,Undergraduate
ANGM,2309,Drawing for Animation,Undergraduate
ANGM,2310,Animation and Game Fundamentals,Undergraduate
ANGM,2315,Animation Origins and Techniques,Undergraduate
ANGM,2325,History of Visual Effects,Undergraduate
ANGM,2335,History of Audio Technology in Media,Undergraduate
ANGM,2345,Introduction to Audio Production,Undergraduate
ANGM,2375,History of Games,Undergraduate
ANGM,3304,Character Design,Undergraduate
ANGM,3305,Computer Animation I,Undergraduate
ANGM,3306,Modeling and Texturing I,Undergraduate
ANGM,3307,Lighting and Composition I,Undergraduate
ANGM,3308,Rigging I,Undergraduate
ANGM,3310,Introduction to Proceduralism,Undergraduate
ANGM,3311,Scripting for Animation,Undergraduate
ANGM,3312,Surfacing and Shading,Undergraduate
ANGM,3313,2D Animation,Undergraduate
ANGM,3314,Background Design,Undergraduate
ANGM,3315,Animation Studies,Undergraduate
ANGM,3320,Stop Motion Animation,Undergraduate
ANGM,3321,Life Drawing,Undergraduate
ANGM,3330,3D Print Lab,Undergraduate
ANGM,3338,Motion Design I,Undergraduate
ANGM,3346,Audio Productions Lab I,Undergraduate
ANGM,3347,Recording Studio Techniques I,Undergraduate
ANGM,3365,Game Design I,Undergraduate
ANGM,3366,Game Studies I,Undergraduate
ANGM,3367,Level Design I,Undergraduate
ANGM,3368,Scripting for Games I,Undergraduate
ANGM,3369,Games and Narrative I,Undergraduate
ANGM,3370,Virtual Environments I,Undergraduate
ANGM,3372,Sound Design for Games,Undergraduate
ANGM,3373,Field Audio Recording Techniques,Undergraduate
ANGM,3381,Augmented Reality,Undergraduate
ANGM,4305,Computer Animation II,Undergraduate
ANGM,4306,Modeling and Texturing II,Undergraduate
ANGM,4307,Lighting and Composition II,Undergraduate
ANGM,4308,Rigging II,Undergraduate
ANGM,4309,Storyboarding,Undergraduate
ANGM,4310,Motion Capture Animation,Undergraduate
ANGM,4312,Digital Sculpting,Undergraduate
ANGM,4313,Digital Effects,Undergraduate
ANGM,4314,Character Effects,Undergraduate
ANGM,4315,Computer Animation III,Undergraduate
ANGM,4316,Animation Lab I,Undergraduate
ANGM,4317,Animation Lab II,Undergraduate
ANGM,4319,Topics in Animation  - Animation Lab Pre Production,Undergraduate
ANGM,4320,2D Animation Lab,Undergraduate
ANGM,4321,Collaborative Modeling,Undergraduate
ANGM,4322,Experimental Animation,Undergraduate
ANGM,4323,Real Time Texturing,Undergraduate
ANGM,4338,Motion Design II,Undergraduate
ANGM,4347,Recording Studio Techniques II,Undergraduate
ANGM,4350,Escape Pod Studio,Undergraduate
ANGM,4365,Game Design II,Undergraduate
ANGM,4367,Level Design II,Undergraduate
ANGM,4368,Scripting for Games II,Undergraduate
ANGM,4369,Games and Narrative II,Undergraduate
ANGM,4370,Virtual Environments II,Undergraduate
ANGM,4373,Animation for Games,Undergraduate
ANGM,4374,Mobile Game Development,Undergraduate
ANGM,4376,Game Production Lab I,Undergraduate
ANGM,4377,Game Production Lab II,Undergraduate
ANGM,4379,Topics in Games  - Game Concept Art,Undergraduate
ANGM,6305,Animation Creative Practices I,Graduate
ANGM,6306,Animation Creative Practices II,Graduate
ANGM,6307,Design in Motion,Graduate
ANGM,6310,Animation Studio I,Graduate
ANGM,6311,Animation Studio II,Graduate
ANGM,6312,Digital Cinematography,Graduate
ANGM,6313,Animation Project Development,Graduate
ANGM,6316,Motion Capture,Graduate
ANGM,6320,Animation and Time-Based Media Research,Graduate
ANGM,6334,Game Production Practices,Graduate
ANGM,6335,Game Design and Development,Graduate
ANGM,6341,Game Production Studio,Graduate
ANGM,6342,Experimental Games Studio,Graduate
ANGM,6344,Building Virtual Worlds,Graduate
ANGM,6349,Special Topics in Game Development  - Id Game Portfolio,Graduate
ANGM,6356,Anatomy of a Game,Graduate
ANGM,6373,Interactive Environments,Graduate
ARAB,1311,Beginning Arabic I,Undergraduate
ARAB,1312,Beginning Arabic II,Undergraduate
ARAB,2310,Arabic for Heritage Speakers,Undergraduate
ARAB,2311,Intermediate Arabic I,Undergraduate
ARAB,2312,Intermediate Arabic II,Undergraduate
ARAB,3351,Introduction to Islamic Culture,Undergraduate
ARHM,1100,Freshman Seminar,Undergraduate
ARHM,2340,Creativity,Undergraduate
ARHM,2342,Connections in the Arts and Humanities,Undergraduate
ARHM,2343,Science and the Humanities,Undergraduate
ARHM,2344,World Cultures  - Study Abroad Mex Cultr & Hist,Undergraduate
ARHM,2V71,Independent Study in the Arts and Humanities,Undergraduate
ARHM,3100,Topics in Values and Science  - Values in Science Lab,Undergraduate
ARHM,3342,Advanced Interdisciplinary Studies in the Arts and Humanities  - Digital Humanities,Undergraduate
ARHM,6310,Team-Taught Interdisciplinary Seminar  - Race Neutral Hist/theor Persp,Graduate
ARTS,1301,Exploration of the Arts,Undergraduate
ARTS,1315,Sustainable Arts,Undergraduate
ARTS,1316,Drawing Foundations,Undergraduate
ARTS,2315,"Topics in Visual Art  - Color, Art, Life",Undergraduate
ARTS,2316,Painting Foundations,Undergraduate
ARTS,2318,Mobile Photography,Undergraduate
ARTS,2348,Digital Art,Undergraduate
ARTS,2350,Photography  Design Basics,Undergraduate
ARTS,2380,2D Design Foundations,Undergraduate
ARTS,2381,Introduction to Sculpture,Undergraduate
ARTS,3311,Contemporary Art Practices,Undergraduate
ARTS,3315,The Art of Tinkering  Creating at the intersection of Art  Science and Technology,Undergraduate
ARTS,3340,Topics in Studio Art  - The Art of Tinkering,Undergraduate
ARTS,3341,Chinese Calligraphy,Undergraduate
ARTS,3363,Typography  Technology  Image  - Typography Tech + Image,Undergraduate
ARTS,3364,Silkscreen Printmaking,Undergraduate
ARTS,3366,Drawing Concepts,Undergraduate
ARTS,3367,Figure Drawing,Undergraduate
ARTS,3368,Mixed Media,Undergraduate
ARTS,3369,Intermediate Painting,Undergraduate
ARTS,3371,Photography  Black White,Undergraduate
ARTS,3372,Photography  Color,Undergraduate
ARTS,3373,Printmaking,Undergraduate
ARTS,3374,Documentary Photography,Undergraduate
ARTS,3375,Sculpture,Undergraduate
ARTS,3376,Time-Based Art  - Intro to Video Art,Undergraduate
ARTS,3377,Photography  Altered Image,Undergraduate
ARTS,3378,Figure Sculpture,Undergraduate
ARTS,3379,Photography  New Media,Undergraduate
ARTS,3381,Video Painting,Undergraduate
ARTS,3382,Color as Subject  - Figure and Life Painting,Undergraduate
ARTS,3383,Digital Drawing,Undergraduate
ARTS,4308,Image Text,Undergraduate
ARTS,4310,Studies in Contemporary Exhibitions,Undergraduate
ARTS,4366,Advanced Drawing,Undergraduate
ARTS,4368,Advanced Visual Arts,Undergraduate
ARTS,4372,Advanced Photography  - Portfolio & Studio Lighting,Undergraduate
ATCM,1100,Freshman Seminar,Undergraduate
ATCM,2300,Introduction to Technoculture,Undergraduate
ATCM,2301,Computer Imaging,Undergraduate
ATCM,2302,Design I,Undergraduate
ATCM,2303,Project Management for Arts  Technology  and Emerging Communication I,Undergraduate
ATCM,2305,Computer Animation Processes,Undergraduate
ATCM,2310,Animation and Game Fundamentals,Undergraduate
ATCM,2315,Animation Origins and Techniques,Undergraduate
ATCM,2320,Critical Media Research Foundations,Undergraduate
ATCM,2321,Reading Media Critically,Undergraduate
ATCM,2322,Media History,Undergraduate
ATCM,2324,Code Plus Culture,Undergraduate
ATCM,2325,Introduction to Ethnic Studies,Undergraduate
ATCM,2330,Digital Art and Social Practice,Undergraduate
ATCM,2335,Internet Studio I,Undergraduate
ATCM,2340,Visual Communication,Undergraduate
ATCM,2345,Sound Design,Undergraduate
ATCM,2350,Time-Based Media,Undergraduate
ATCM,2355,Survey of Digital Fabrication,Undergraduate
ATCM,2360,Design Histories,Undergraduate
ATCM,2365,Game Design Fundamentals,Undergraduate
ATCM,2375,History of Games,Undergraduate
ATCM,2380,Communication and Social Science Theories,Undergraduate
ATCM,3301,Digital Content Design,Undergraduate
ATCM,3303,Project Management for Arts  Technology  and Emerging Communication II,Undergraduate
ATCM,3304,Character Design,Undergraduate
ATCM,3305,Computer Animation I,Undergraduate
ATCM,3306,Modeling and Texturing I,Undergraduate
ATCM,3307,Lighting and Composition I,Undergraduate
ATCM,3308,Rigging I,Undergraduate
ATCM,3309,Pre-Production Design I,Undergraduate
ATCM,3310,Procedural Animation,Undergraduate
ATCM,3311,Tools Development for Arts  Technology  and Emerging Communication,Undergraduate
ATCM,3312,Surfacing and Shading I,Undergraduate
ATCM,3315,Animation Studies,Undergraduate
ATCM,3320,Critical Media Theories,Undergraduate
ATCM,3321,Networked Identities,Undergraduate
ATCM,3325,Global Media Cultures,Undergraduate
ATCM,3326,Emerging Media Arts,Undergraduate
ATCM,3330,Digital Art and Social Practice,Undergraduate
ATCM,3331,Critical Making,Undergraduate
ATCM,3335,Internet Studio II,Undergraduate
ATCM,3336,Design Research Methods,Undergraduate
ATCM,3337,Interaction Design I,Undergraduate
ATCM,3338,Motion Graphics I,Undergraduate
ATCM,3340,Design II,Undergraduate
ATCM,3345,Audio Technologies,Undergraduate
ATCM,3346,Audio Productions Lab I,Undergraduate
ATCM,3350,Digital Video Production I,Undergraduate
ATCM,3355,Computer Modeling for Digital Fabrication,Undergraduate
ATCM,3356,Projection Mapping Lab,Undergraduate
ATCM,3357,Digital Fabrication Lab I,Undergraduate
ATCM,3365,Game Design I,Undergraduate
ATCM,3366,Game Studies I,Undergraduate
ATCM,3367,Level Design I,Undergraduate
ATCM,3368,Scripting for Games I,Undergraduate
ATCM,3369,Games and Narrative I,Undergraduate
ATCM,3370,Virtual Environments,Undergraduate
ATCM,3371,User Experience Design for Games,Undergraduate
ATCM,3372,Sound Design for Animation and Games,Undergraduate
ATCM,3376,History of Games,Undergraduate
ATCM,3380,Media Psychology,Undergraduate
ATCM,3381,Media and Communication Research Methods II,Undergraduate
ATCM,3382,Communicating Social Science,Undergraduate
ATCM,3385,Social Networks,Undergraduate
ATCM,3388,Attitudes and Behaviors,Undergraduate
ATCM,3395,Topics in Arts  Technology  and Emerging Communication  - Reading Media Critically,Undergraduate
ATCM,4305,Computer Animation II,Undergraduate
ATCM,4306,Modeling and Texturing II,Undergraduate
ATCM,4307,Lighting and Composition II,Undergraduate
ATCM,4308,Rigging II,Undergraduate
ATCM,4309,Visual Story II,Undergraduate
ATCM,4310,Motion Capture Animation,Undergraduate
ATCM,4311,Experimental Lab,Undergraduate
ATCM,4312,Digital Sculpting,Undergraduate
ATCM,4313,Visual Effects,Undergraduate
ATCM,4314,Character Effects,Undergraduate
ATCM,4315,Computer Animation III,Undergraduate
ATCM,4316,Animation Lab I,Undergraduate
ATCM,4317,Animation Lab II,Undergraduate
ATCM,4319,Topics in Animation  - Adv Character Animation,Undergraduate
ATCM,4320,Political Economy of Digital Media,Undergraduate
ATCM,4322,Disability  Technology  and Media,Undergraduate
ATCM,4323,Feminism  Technology  and Media,Undergraduate
ATCM,4325,Race  Technology  and Media,Undergraduate
ATCM,4326,Mediated Textuality,Undergraduate
ATCM,4327,Privacy and Surveillance,Undergraduate
ATCM,4330,Culture Jamming,Undergraduate
ATCM,4332,Critical Media Studies Lab I  - Current Events Podcast,Undergraduate
ATCM,4334,"Topics in Critical Media Studies  - Globalization, Media & Culture",Undergraduate
ATCM,4337,Interaction Design II,Undergraduate
ATCM,4338,Motion Graphics II,Undergraduate
ATCM,4339,Motion Graphics Lab,Undergraduate
ATCM,4340,Strategic Design,Undergraduate
ATCM,4341,Applied Experience Design,Undergraduate
ATCM,4345,Digital Audio Processing,Undergraduate
ATCM,4346,Audio Productions Lab II,Undergraduate
ATCM,4350,Digital Video Production II,Undergraduate
ATCM,4351,New Media Performance,Undergraduate
ATCM,4357,Digital Fabrication Lab II,Undergraduate
ATCM,4363,Topics in Emerging Media Art  - Moving Images With Aug Reality,Undergraduate
ATCM,4364,Topics in Design and Production  - Visualization & Info Design,Undergraduate
ATCM,4365,Game Design II,Undergraduate
ATCM,4366,Game Studies II,Undergraduate
ATCM,4367,Level Design II,Undergraduate
ATCM,4368,Scripting for Games II,Undergraduate
ATCM,4370,Virtual Environments II,Undergraduate
ATCM,4373,Animation for Games,Undergraduate
ATCM,4374,Interactives Lab,Undergraduate
ATCM,4375,Game Design III,Undergraduate
ATCM,4376,Game Production Lab I,Undergraduate
ATCM,4377,Game Production Lab II,Undergraduate
ATCM,4379,Topics in Games  - Virtual Environments II,Undergraduate
ATCM,4380,Communication  Media  and Information Technology,Undergraduate
ATCM,4384,Ethics in New Media  Technology  and Communication,Undergraduate
ATCM,4385,Children and Media,Undergraduate
ATCM,4386,Journalism in the Networked Age,Undergraduate
ATCM,4388,Political Communication,Undergraduate
ATCM,4395,Advanced Topics in Arts  Technology  and Emerging Media  - Production Management,Undergraduate
ATCM,4397,Senior Seminar,Undergraduate
ATCM,4398,Capstone Project,Undergraduate
ATCM,4399,Senior Honors in Arts  Technology  and Emerging Communication,Undergraduate
ATCM,4V96,Independent Study in Arts  Technology  and Emerging Communication,Undergraduate
ATCM,6000,ATEC Dean s Colloquium,Graduate
ATCM,6001,Graduate Critique Culture,Graduate
ATCM,6300,Approaches to Arts  Technology  and Emerging Communication,Graduate
ATCM,6301,Aesthetics of Interactive Arts,Graduate
ATCM,6304,Computer Processing for Arts  Technology  and Emerging Communication,Graduate
ATCM,6305,Animation Creative Practices,Graduate
ATCM,6306,First Year Seminar,Graduate
ATCM,6307,Second Year Seminar,Graduate
ATCM,6310,Animation Studio I,Graduate
ATCM,6311,Animation Studio II,Graduate
ATCM,6312,Digital Cinematography,Graduate
ATCM,6313,Animation Project Development,Graduate
ATCM,6315,History of Animation,Graduate
ATCM,6316,Motion Capture,Graduate
ATCM,6317,Procedural Animation,Graduate
ATCM,6318,Special Topics in Animation  - Anim&time-based Media Research,Graduate
ATCM,6321,Digital Fabrication,Graduate
ATCM,6322,Experimental Interactive Media,Graduate
ATCM,6323,Modeling and Simulation,Graduate
ATCM,6325,Arts  Science  and Humanities,Graduate
ATCM,6326,Research in Sound Design,Graduate
ATCM,6327,Experimental Publishing,Graduate
ATCM,6330,Special Topics in Interactive Media  - Art & the Web,Graduate
ATCM,6335,Game Design and Development,Graduate
ATCM,6336,Critical Game Studies,Graduate
ATCM,6340,Game Production Methods,Graduate
ATCM,6341,Game Production Studio,Graduate
ATCM,6342,Experimental Games Studio,Graduate
ATCM,6343,Educational Games Studio  - Museum Games,Graduate
ATCM,6344,Building Virtual Worlds,Graduate
ATCM,6349,Special Topics in Game Development  - Virtual Reality,Graduate
ATCM,6353,Games  Education  and Simulation,Graduate
ATCM,6354,Meaningful Play,Graduate
ATCM,6355,Narrative System Research,Graduate
ATCM,6356,Anatomy of a Game,Graduate
ATCM,6357,Virtual Worlds and Communities,Graduate
ATCM,6365,Design Principles,Graduate
ATCM,6366,Information Architecture and Design,Graduate
ATCM,6375,Critical Approaches to Networked Cultures,Graduate
ATCM,6376,Media and Cultural Studies Methods,Graduate
ATCM,6377,Creativity as Social Practice,Graduate
ATCM,6378,Tactical Media,Graduate
ATCM,6380,Histories of Emerging Media,Graduate
ATCM,6381,Media  Culture  and Economy,Graduate
ATCM,6382,Privacy  Surveillance  and Technology,Graduate
ATCM,6383,Digital Culture,Graduate
ATCM,6384,Digital Publics and Counterpublics,Graduate
ATCM,6385,Emerging Media and Identity,Graduate
ATCM,6387,Emerging Media Studio,Graduate
ATCM,6388,Critical Making,Graduate
ATCM,6389,Special Topics in Networked Cultures  - Feminist Sci & Tech Studies,Graduate
ATCM,6390,Social Science Methods in Mediated Communication,Graduate
ATCM,6391,Approaches to Mediated Communication,Graduate
ATCM,6392,Journalism and the Digital Network,Graduate
ATCM,6395,Special Topics in Arts  Technology  and Emerging Communication  - Semiotics,Graduate
ATCM,6399,Master s Thesis,Graduate
ATCM,6698,Master s Project I,Graduate
ATCM,7331,Research Methodology in Arts  Technology  and Emerging Communication,Graduate
ATCM,7332,Creative Practice Research Methods,Graduate
ATCM,7340,Advanced Studies in Arts  Technology  and Emerging Communication  - Adv. Digital Media Studies,Graduate
ATCM,7390,Advanced Special Topics in Arts  Technology  and Emerging Communication  - Posthuman Ethical Design,Graduate
ATCM,8303,Independent Readings in Arts  Technology  and Emerging Communication,Graduate
ATCM,8305,Independent Research in Arts  Technology  and Emerging Communication,Graduate
ATCM,8306,Qualifying Exam Preparation in Arts  Technology  and Emerging Communication,Graduate
ATCM,8307,Dissertation Proposal in Arts  Technology  and Emerging Communication,Graduate
ATCM,8V99,PhD Dissertation,Graduate
AUD,6113,Grand Rounds,Graduate
AUD,6114,Instrumentation,Graduate
AUD,6121,Foundation Laboratory Procedures in Audiology and Hearing Science,Graduate
AUD,6122,Laboratory Procedures in Audiology and Hearing Science,Graduate
AUD,6123,Advanced Laboratory Procedures in Audiology and Hearing Science,Graduate
AUD,6216,Audiologic Rehabilitation for Adults,Graduate
AUD,6303,Hearing Science,Graduate
AUD,6305,Anatomy and Physiology of Audition,Graduate
AUD,6306,Speech Science,Graduate
